time,velocity_r3, angular_vel_r3,num_detections3,num_inliers3,average_range3,velocity_r4,angular_vel_r4,num_detections4,num_inliers4,average_range4,combined_velocity,combined_angular_vel,x,y
3363912.0,1.1488375164767095,-7.1949479361777815,20.0,19.0,11.0975,1.446574337826745,-3.2824374937413445,10.0,9.0,14.045000000000002,1.2977059271517273,7.226729589505642,-18.559986551771257,105.18817925241301
3363962.0,1.1087464206109519,-7.057781829816157,19.0,3.0,11.03421052631579,1.1620771253098667,5.294537556450132,7.0,6.0,11.314285714285713,1.1354117729604094,7.033214676695943,-18.555057895748362,105.12670029774685
3364012.0,0.9577465082208739,-7.226228911590707,26.0,25.0,12.103846153846156,1.374761343315778,-4.708859187764344,13.0,12.0,12.123076923076923,1.166253925768326,6.558880820847136,-18.550023490893857,105.0685115437116
3364062.0,1.0385793262863805,-4.197014190717432,18.0,17.0,8.922222222222222,1.3606461141925006,-5.468952506820743,8.0,7.0,10.15625,1.1996127202394407,6.00744250292661,-18.544929618690265,105.01356470431145
3364112.0,0.8182829791536965,-6.915185768146414,22.0,5.0,10.911363636363635,nan,nan,nan,nan,nan,0.8182829791536965,5.2397071992250375,-18.539800344024112,104.96148106009645
3364162.0,0.8361146429582549,-4.992092734861983,17.0,15.0,8.382352941176471,nan,nan,nan,nan,nan,0.8361146429582549,4.544547501258168,-18.534698692213627,104.91232158819534
3364212.0,0.8157669364844506,-5.07033492878455,17.0,3.0,10.91764705882353,nan,nan,nan,nan,nan,0.8157669364844506,3.9743938633619496,-18.529711341921363,104.86631348987976
3364262.0,0.7700986664601872,-1.0758322592830214,17.0,8.0,11.041176470588235,nan,nan,nan,nan,nan,0.7700986664601872,3.494376889874712,-18.524959245840144,104.82404099327066
3364312.0,0.7110245399877134,-0.8794327194890214,15.0,15.0,12.466666666666665,nan,nan,nan,nan,nan,0.7110245399877134,3.057489516634363,-18.52045130932197,104.78515577725337
3364362.0,0.6494744547630433,-1.0588883413799883,16.0,15.0,13.34375,1.0794329837328946,-11.605907965662867,8.0,2.0,12.69375,0.864453719247969,2.6488646979255512,-18.51622543265453,104.74965042091172
3364412.0,0.5946531340129005,0.40736107027657653,16.0,15.0,9.850000000000001,nan,nan,nan,nan,nan,0.5946531340129005,2.140955063488174,-18.51232605123838,104.71761676622783
3364462.0,0.5184263161178557,-1.0703769553767353,11.0,10.0,11.645454545454545,0.7121697079282261,-2.6088119429109256,6.0,2.0,9.958333333333334,0.6152980120230409,1.9394490294129838,-18.508746910197782,104.68876997180645
3364512.0,0.4317359666185107,-3.3448638602529894,13.0,12.0,12.396153846153847,nan,nan,nan,nan,nan,0.4317359666185107,1.626825134684545,-18.505490275071157,104.66291784944617
3364562.0,0.434322161980292,-0.5043396166854847,12.0,7.0,16.6875,nan,nan,nan,nan,nan,0.434322161980292,1.363572613961277,-18.502601728646194,104.64029653992087
3364612.0,0.20372205248045838,-5.043088483682043,11.0,2.0,13.054545454545456,nan,nan,nan,nan,nan,0.20372205248045838,0.9394631741630791,-18.50011000528305,104.62100096896751
3364662.0,0.2876668072512738,0.43430239674644927,10.0,7.0,16.415,nan,nan,nan,nan,nan,0.2876668072512738,0.5998063591635676,-18.49797037440833,104.6045857630303
3364712.0,0.2068473261649076,-0.864849235711555,17.0,16.0,17.67647058823529,nan,nan,nan,nan,nan,0.2068473261649076,0.20527753720334785,-18.496159917589786,104.59078426647649
3364762.0,0.09247217414089236,-1.5223437680243934,16.0,15.0,17.75,nan,nan,nan,nan,nan,0.09247217414089236,-0.026380374181674895,-18.494660443217896,104.57939966700128
3364812.0,0.0908438272173055,0.9608257058995886,14.0,13.0,16.214285714285715,nan,nan,nan,nan,nan,0.0908438272173055,-0.40677786080576084,-18.493442569995967,104.5701658712241
3364862.0,-0.0,-0.0,11.0,10.0,17.327272727272728,nan,nan,nan,nan,nan,-0.0,-0.5230760035678287,-18.492452726407667,104.56265964088998
3364912.0,-0.021966793107877206,1.668135722799642,9.0,9.0,16.666666666666668,nan,nan,nan,nan,nan,-0.021966793107877206,-0.7406973047738207,-18.491684344905615,104.5568168115727
3364962.0,0.015050618597988442,3.495203554287317,12.0,11.0,15.683333333333332,nan,nan,nan,nan,nan,0.015050618597988442,-0.9155089450708043,-18.491101291830283,104.55236752344624
3365012.0,-0.013859170085979243,2.0621896119809846,10.0,10.0,16.11,nan,nan,nan,nan,nan,-0.013859170085979243,-1.0213378231405053,-18.490704248404203,104.54932240134974
3365062.0,-0.09154162913962392,-1.6906040496309935,10.0,10.0,13.205000000000002,nan,nan,nan,nan,nan,-0.09154162913962392,-1.2933414678470059,-18.490446647155423,104.54733434271697
3365112.0,-0.0,-0.0,14.0,13.0,23.92142857142857,nan,nan,nan,nan,nan,-0.0,-1.2066783278809488,-18.490262548845045,104.54590354306305
3365162.0,-0.0,-0.0,12.0,12.0,18.366666666666667,nan,nan,nan,nan,nan,-0.0,-1.347478179664297,-18.4902350895074,104.54568821109692
3365212.0,0.07094650385118527,3.4859363233513228,17.0,16.0,19.405882352941177,nan,nan,nan,nan,nan,0.07094650385118527,-1.4228920918572676,-18.490314187391032,104.54631373336652
3365262.0,-0.010895752050896778,0.8383412946428281,7.0,7.0,11.842857142857142,nan,nan,nan,nan,nan,-0.010895752050896778,-1.4651378938976607,-18.490471157155618,104.5475669206891
3365312.0,0.06354812233232217,3.801371909665118,10.0,10.0,16.635,nan,nan,nan,nan,nan,0.06354812233232217,-1.6713589429330575,-18.490695976608176,104.5493800475825
3365362.0,-0.04672161796242649,0.45189917304026656,13.0,13.0,18.85,nan,nan,nan,nan,nan,-0.04672161796242649,-1.8427425157778121,-18.490954471495854,104.5514868149357
3365412.0,-0.0,-0.0,10.0,9.0,16.975,nan,nan,nan,nan,nan,-0.0,-1.916731051924535,-18.491202776243743,104.55353524369045
3365462.0,0.024034170642756203,3.9436305494847264,10.0,10.0,16.57,nan,nan,nan,nan,nan,0.024034170642756203,-2.0803831529705876,-18.491448970994085,104.55559397322119
3365512.0,0.05150849458616252,5.302479130959227,10.0,10.0,16.625,nan,nan,nan,nan,nan,0.05150849458616252,-1.981360729482212,-18.491640887605758,104.5572219093583
3365562.0,-0.02240452705931249,1.646731361919241,7.0,7.0,18.635714285714283,nan,nan,nan,nan,nan,-0.02240452705931249,-2.0006863625106437,-18.49181213304868,104.55869753724535
3365612.0,-0.022668373608784417,1.6339744982259143,9.0,6.0,18.42777777777778,nan,nan,nan,nan,nan,-0.022668373608784417,-1.9424532060039732,-18.491936921240352,104.55978932414824
3365662.0,-0.02266674226431787,1.6338569081729164,10.0,10.0,17.075000000000003,nan,nan,nan,nan,nan,-0.02266674226431787,-1.985545996637395,-18.49203532968642,104.56066384186273
3365712.0,-0.020915423071157103,1.7194555009326453,12.0,12.0,17.64166666666667,nan,nan,nan,nan,nan,-0.020915423071157103,-1.949698264173397,-18.492075976010003,104.56103064432446
3365762.0,-0.0,-0.0,11.0,11.0,16.468181818181822,nan,nan,nan,nan,nan,-0.0,-1.8827311802303157,-18.492069038923372,104.56096703570729
3365812.0,0.07075127688583659,3.483974658339035,13.0,13.0,18.72307692307692,nan,nan,nan,nan,nan,0.07075127688583659,-1.9010232958644973,-18.492031893827303,104.56062097701506
3365862.0,-0.021706053636608973,1.6811259878727618,10.0,10.0,15.665000000000003,nan,nan,nan,nan,nan,-0.021706053636608973,-1.7889901170538207,-18.4919618276446,104.55995794823971
3365912.0,-0.020920011552788498,1.7198327196938343,11.0,11.0,18.849999999999998,nan,nan,nan,nan,nan,-0.020920011552788498,-1.7430444820789532,-18.491892177986188,104.55928823187739
3365962.0,-0.01406848643626285,2.0581578209788045,14.0,14.0,17.625,nan,nan,nan,nan,nan,-0.01406848643626285,-1.873725942830777,-18.491821848098354,104.5586015568652
3366012.0,-0.06636170798480295,-0.5225448077212873,12.0,12.0,17.895833333333332,nan,nan,nan,nan,nan,-0.06636170798480295,-1.9766961568503691,-18.491735514844187,104.55774579024688
3366062.0,0.0501650476342236,5.083863366397941,11.0,11.0,17.08636363636364,nan,nan,nan,nan,nan,0.0501650476342236,-1.946484507553106,-18.49163934004491,104.5567766047777
3366112.0,-0.0,-0.0,11.0,11.0,18.29090909090909,nan,nan,nan,nan,nan,-0.0,-1.8257394510001732,-18.49155906273643,104.5559531711069
3366162.0,-0.0,-0.0,13.0,13.0,18.550000000000004,nan,nan,nan,nan,nan,-0.0,-1.734465644663423,-18.491473281471904,104.55505753047385
3366212.0,0.06041136735245809,4.212169573517314,13.0,13.0,16.157692307692308,nan,nan,nan,nan,nan,0.06041136735245809,-1.74809835039163,-18.49138183923544,104.55408648450525
3366262.0,-0.0,-0.0,11.0,11.0,16.045454545454547,-0.0,0.0,6.0,5.0,8.633333333333335,-0.0,-1.7538700952753161,-18.491277224287813,104.55295724551425
3366312.0,-0.0,-0.0,11.0,11.0,18.181818181818183,0.27788331130608657,-8.469766128232992,5.0,5.0,5.59,0.13894165565304328,8.680454881132293,-18.49116822316014,104.55176079317368
3366362.0,0.07822549251868219,3.911511944396612,8.0,8.0,16.4625,nan,nan,nan,nan,nan,0.07822549251868219,-1.7879484838203552,-18.491042964778313,104.55036220485346
3366412.0,-0.0,-0.0,8.0,8.0,14.2,-0.0,0.0,5.0,5.0,6.83,-0.0,-1.6858216622810684,-18.49092521328855,104.54915079217518
3366462.0,0.07932423746705561,3.8975738859320184,7.0,7.0,17.385714285714283,nan,nan,nan,nan,nan,0.07932423746705561,-1.645095827456736,-18.49080573024221,104.54790132257855
3366512.0,0.06998421961122678,3.491778194900788,11.0,11.0,17.527272727272727,nan,nan,nan,nan,nan,0.06998421961122678,-1.6405942180619286,-18.490695715663573,104.54673272764803
3366562.0,-0.0,-0.0,16.0,16.0,17.415625,nan,nan,nan,nan,nan,-0.0,-1.9092552737937987,-18.490588566684576,104.54557679047159
